#Date;Time;INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Pdc3 [W];Udc1 [V];Udc2 [V];Udc3 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Pdc3 [W];Udc1 [V];Udc2 [V];Udc3 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Pdc3 [W];Udc1 [V];Udc2 [V];Udc3 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Udc1 [V];Udc2 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Pdc3 [W];Udc1 [V];Udc2 [V];Udc3 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Pdc3 [W];Udc1 [V];Udc2 [V];Udc3 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Pdc3 [W];Udc1 [V];Udc2 [V];Udc3 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Udc1 [V];Udc2 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Udc1 [V];Udc2 [V];Uac [V];INV;P_ac;DaySum [Wh];Status;Error;Pdc1 [W];Pdc2 [W];Udc1 [V];Udc2 [V];Temp [�C];Uac [V];Idc1 [mA];Idc2 [mA];Iac [mA]
17.06.18;23:55:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:50:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:45:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:40:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:35:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:30:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:25:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:20:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:15:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
17.06.18;23:10:00;1;0;24580;0;0;0;0;0;0;0;0;0;2;0;24251;0;0;0;0;0;0;0;0;0;3;0;24756;0;0;0;0;0;0;0;0;0;4;0;33535;0;0;0;0;0;0;0;5;0;21553;0;0;0;0;0;0;0;0;0;6;0;21381;0;0;0;0;0;0;0;0;0;7;0;21791;0;0;0;0;0;0;0;0;0;8;0;33170;0;0;0;0;0;0;0;9;0;16101;0;0;0;0;0;0;0;10;0;19682;0;0;0;0;0;0;0;0;0;0;0
