Datetime,Time,P_ac
2018-06-18 16:45:00,2018-06-1816:45:00,2723
2018-06-18 16:40:00,2018-06-1816:40:00,2033
2018-06-18 16:35:00,2018-06-1816:35:00,1856
2018-06-18 16:30:00,2018-06-1816:30:00,3246
2018-06-18 16:25:00,2018-06-1816:25:00,2638
2018-06-18 16:20:00,2018-06-1816:20:00,1190
2018-06-18 16:15:00,2018-06-1816:15:00,699
2018-06-18 16:10:00,2018-06-1816:10:00,1568
2018-06-18 16:05:00,2018-06-1816:05:00,3432
2018-06-18 16:00:00,2018-06-1816:00:00,4247
2018-06-18 15:55:00,2018-06-1815:55:00,2253
2018-06-18 15:50:00,2018-06-1815:50:00,1487
2018-06-18 15:45:00,2018-06-1815:45:00,1377
2018-06-18 15:40:00,2018-06-1815:40:00,1814
2018-06-18 15:35:00,2018-06-1815:35:00,1447
2018-06-18 15:30:00,2018-06-1815:30:00,3802
2018-06-18 15:25:00,2018-06-1815:25:00,4366
2018-06-18 15:20:00,2018-06-1815:20:00,3553
2018-06-18 15:15:00,2018-06-1815:15:00,1949
2018-06-18 15:10:00,2018-06-1815:10:00,1485
2018-06-18 15:05:00,2018-06-1815:05:00,1306
2018-06-18 15:00:00,2018-06-1815:00:00,2082
2018-06-18 14:55:00,2018-06-1814:55:00,3308
2018-06-18 14:50:00,2018-06-1814:50:00,3730
2018-06-18 14:45:00,2018-06-1814:45:00,1173
2018-06-18 14:40:00,2018-06-1814:40:00,1866
2018-06-18 14:35:00,2018-06-1814:35:00,1429
2018-06-18 14:30:00,2018-06-1814:30:00,1342
2018-06-18 14:25:00,2018-06-1814:25:00,2384
2018-06-18 14:20:00,2018-06-1814:20:00,1734
2018-06-18 14:15:00,2018-06-1814:15:00,4107
2018-06-18 14:10:00,2018-06-1814:10:00,4190
2018-06-18 14:05:00,2018-06-1814:05:00,2315
2018-06-18 14:00:00,2018-06-1814:00:00,4167
2018-06-18 13:55:00,2018-06-1813:55:00,3608
2018-06-18 13:50:00,2018-06-1813:50:00,4132
2018-06-18 13:45:00,2018-06-1813:45:00,3350
2018-06-18 13:40:00,2018-06-1813:40:00,4059
2018-06-18 13:35:00,2018-06-1813:35:00,4345
2018-06-18 13:30:00,2018-06-1813:30:00,3569
2018-06-18 13:25:00,2018-06-1813:25:00,3754
2018-06-18 13:20:00,2018-06-1813:20:00,3048
2018-06-18 13:15:00,2018-06-1813:15:00,4282
2018-06-18 13:10:00,2018-06-1813:10:00,3194
2018-06-18 13:05:00,2018-06-1813:05:00,4464
2018-06-18 13:00:00,2018-06-1813:00:00,4333
2018-06-18 12:55:00,2018-06-1812:55:00,4297
2018-06-18 12:50:00,2018-06-1812:50:00,3521
2018-06-18 12:45:00,2018-06-1812:45:00,4245
2018-06-18 12:40:00,2018-06-1812:40:00,4216
2018-06-18 12:35:00,2018-06-1812:35:00,4325
2018-06-18 12:30:00,2018-06-1812:30:00,4498
2018-06-18 12:25:00,2018-06-1812:25:00,4507
2018-06-18 12:20:00,2018-06-1812:20:00,3231
2018-06-18 12:15:00,2018-06-1812:15:00,3032
2018-06-18 12:10:00,2018-06-1812:10:00,4611
2018-06-18 12:05:00,2018-06-1812:05:00,2984
2018-06-18 12:00:00,2018-06-1812:00:00,4390
2018-06-18 11:55:00,2018-06-1811:55:00,2159
2018-06-18 11:50:00,2018-06-1811:50:00,3112
2018-06-18 11:45:00,2018-06-1811:45:00,4573
2018-06-18 11:40:00,2018-06-1811:40:00,3567
2018-06-18 11:35:00,2018-06-1811:35:00,2887
2018-06-18 11:30:00,2018-06-1811:30:00,1807
2018-06-18 11:25:00,2018-06-1811:25:00,1223
2018-06-18 11:20:00,2018-06-1811:20:00,1559
2018-06-18 11:15:00,2018-06-1811:15:00,2220
2018-06-18 11:10:00,2018-06-1811:10:00,3214
2018-06-18 11:05:00,2018-06-1811:05:00,3175
2018-06-18 11:00:00,2018-06-1811:00:00,1863
2018-06-18 10:55:00,2018-06-1810:55:00,1504
2018-06-18 10:50:00,2018-06-1810:50:00,1460
2018-06-18 10:45:00,2018-06-1810:45:00,3227
2018-06-18 10:40:00,2018-06-1810:40:00,3674
2018-06-18 10:35:00,2018-06-1810:35:00,1927
2018-06-18 10:30:00,2018-06-1810:30:00,2524
2018-06-18 10:25:00,2018-06-1810:25:00,3003
2018-06-18 10:20:00,2018-06-1810:20:00,1196
2018-06-18 10:15:00,2018-06-1810:15:00,3361
