#Datum,Uhrzeit,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Pdc3,Udc1,Udc2,Udc3,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Pdc3,Udc1,Udc2,Udc3,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Pdc3,Udc1,Udc2,Udc3,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Temp,Uac
14.08.16,19:45:00,1,0,14631,1,0,0,0,1,260,260,260,0,2,0,14446,1,0,0,0,0,247,247,247,0,3,0,14533,1,0,0,0,0,227,227,227,0,4,0,19803,1,0,8,0,364,364,0,5,0,12750,1,0,0,0,343,343,0,6,0,12759,0,0,0,0,322,322,0,7,0,12913,1,0,0,2,338,338,0,8,0,19623,1,0,5,5,364,364,0,9,0,9446,0,0,0,0,203,203,0,10,0,11730,7,0,0,0,264,216,23,228
14.08.16,19:40:00,1,0,14631,1,0,0,0,2,323,320,323,0,2,0,14446,1,0,0,0,0,323,311,318,0,3,0,14533,1,0,0,0,0,298,299,296,0,4,0,19803,1,0,10,0,441,440,0,5,0,12750,1,0,0,0,448,448,0,6,0,12759,1,0,0,0,446,446,0,7,0,12913,1,0,0,3,439,439,0,8,0,19623,1,0,7,7,447,447,3,9,0,9446,1,0,0,0,329,329,0,10,0,11730,7,0,0,0,331,231,23,229
14.08.16,19:35:00,1,2,14631,1,0,2,2,6,280,265,297,127,2,1,14446,1,0,1,2,2,292,270,273,103,3,1,14533,1,0,1,1,1,305,311,298,57,4,5,19803,1,0,20,3,449,452,183,5,0,12750,1,0,1,1,429,443,69,6,1,12759,1,0,3,3,456,329,184,7,2,12913,1,0,3,8,402,415,115,8,6,19623,3,0,18,10,442,484,230,9,0,9446,1,0,3,2,328,270,115,10,0,11730,7,0,3,2,335,228,24,229
14.08.16,19:30:00,1,11,14631,3,0,9,7,11,253,199,226,231,2,10,14446,3,0,6,8,9,225,188,207,230,3,11,14533,3,0,9,9,8,257,245,199,230,4,23,19803,3,0,35,11,424,420,229,5,9,12750,3,0,6,10,308,355,231,6,10,12759,3,0,12,7,384,335,231,7,11,12913,3,0,11,15,338,366,231,8,24,19623,3,0,31,18,438,468,230,9,5,9446,3,0,9,7,263,215,230,10,8,11730,1,0,18,14,300,200,25,230
14.08.16,19:25:00,1,22,14631,3,0,11,12,16,220,218,255,231,2,22,14446,3,0,10,12,15,233,207,251,231,3,23,14533,3,0,12,14,13,238,259,225,230,4,43,19802,3,0,48,18,438,392,229,5,20,12750,3,0,11,15,339,374,231,6,21,12759,3,0,18,14,372,355,231,7,20,12913,3,0,16,19,328,334,231,8,45,19622,3,0,46,25,427,466,231,9,13,9446,3,0,13,12,266,246,230,10,19,11730,1,0,24,17,304,203,25,230
14.08.16,19:20:00,1,35,14630,3,0,15,18,20,222,293,240,231,2,32,14445,3,0,11,18,20,186,225,250,231,3,38,14531,3,0,15,20,20,212,291,263,230,4,64,19798,3,0,61,26,441,433,229,5,30,12749,3,0,17,22,343,378,231,6,33,12758,3,0,23,20,362,383,231,7,30,12912,3,0,21,25,317,335,231,8,64,19618,3,0,60,33,444,474,231,9,22,9446,3,0,19,16,293,262,230,10,29,11729,1,0,30,20,310,204,25,230
14.08.16,19:15:00,1,51,14627,3,0,18,24,28,228,311,290,231,2,48,14442,3,0,16,26,26,214,268,263,231,3,55,14528,3,0,21,27,26,241,293,319,230,4,85,19792,3,0,76,34,432,485,229,5,40,12747,3,0,22,26,361,375,231,6,43,12755,3,0,29,25,377,364,231,7,36,12910,3,0,23,29,284,330,231,8,81,19613,3,0,71,38,453,486,231,9,29,9445,3,0,23,19,307,240,230,10,38,11727,1,0,36,24,348,206,25,230
14.08.16,19:10:00,1,67,14622,3,0,27,28,32,312,288,291,231,2,63,14438,3,0,22,31,31,252,297,293,231,3,68,14523,3,0,26,32,30,270,328,341,231,4,105,19785,3,0,87,42,406,458,229,5,54,12743,3,0,28,34,397,412,231,6,56,12751,3,0,36,31,410,398,231,7,56,12906,3,0,34,39,385,402,231,8,102,19606,3,0,86,47,441,481,231,9,41,9442,3,0,29,25,336,285,230,10,48,11724,1,0,44,26,348,219,25,230
14.08.16,19:05:00,1,96,14617,3,0,37,38,44,326,312,338,231,2,91,14433,3,0,31,41,42,283,350,326,231,3,97,14518,3,0,36,42,40,292,346,322,230,4,149,19776,3,0,118,56,454,490,229,5,78,12739,3,0,39,45,427,445,231,6,80,12746,3,0,49,45,441,436,230,7,79,12902,3,0,45,52,388,431,231,8,139,19597,3,0,112,60,459,480,231,9,55,9439,3,0,37,34,305,290,230,10,72,11720,1,0,56,35,350,238,26,230
14.08.16,19:00:00,1,150,14608,3,0,51,60,69,328,313,373,231,2,156,14425,3,0,50,66,68,356,376,371,231,3,168,14509,3,0,58,70,69,339,355,345,230,4,250,19763,3,0,185,95,485,475,229,5,114,12732,3,0,59,67,438,458,231,6,121,12740,3,0,71,66,465,486,231,7,120,12895,3,0,67,75,429,464,231,8,204,19585,3,0,158,83,471,503,231,9,87,9434,3,0,55,51,341,332,230,10,105,11713,1,0,78,45,361,240,26,230
