Epoch_Time,Power_Output,Cloud_Cover,Dew_Point,Humidity,Pressure,Temperature,Wind_Speed,Visibility,Hour_map
1530392400,0,0.36,49.98,0.63,1009.71,62.9,4.02,6.22,0.0000
1530392700,0,0.36,49.99,0.63,1009.7,62.75,3.9,6.22,0.0035
1530393000,0,0.36,49.99,0.63,1009.69,62.6,3.79,6.22,0.0069
1530393300,0,0.36,50.0,0.64,1009.68,62.45,3.69,6.22,0.0104
1530393600,0,0.36,50.0,0.64,1009.68,62.3,3.6,6.22,0.0139
1530393900,0,0.36,50.0,0.64,1009.67,62.15,3.53,6.22,0.0174
1530394200,0,0.35,50.0,0.65,1009.66,62.0,3.46,6.22,0.0208
1530394500,0,0.35,50.0,0.65,1009.65,61.85,3.41,6.22,0.0243
1530394800,0,0.35,50.0,0.65,1009.65,61.7,3.37,6.22,0.0278
1530395100,0,0.35,50.0,0.66,1009.64,61.55,3.35,6.22,0.0313
1530395400,0,0.35,49.99,0.66,1009.63,61.41,3.34,6.22,0.0347
1530395700,0,0.35,49.99,0.66,1009.63,61.26,3.34,6.22,0.0382
1530396000,0,0.35,49.99,0.67,1009.62,61.11,3.36,6.22,0.0417
1530396300,0,0.35,49.84,0.66,1009.61,61.11,3.08,6.22,0.0451
1530396600,0,0.35,49.7,0.66,1009.6,61.11,2.8,6.22,0.0486
1530396900,0,0.35,49.55,0.66,1009.59,61.11,2.52,6.22,0.0521
1530397200,0,0.35,49.4,0.65,1009.58,61.11,2.24,6.22,0.0556
1530397500,0,0.35,49.26,0.65,1009.57,61.11,1.96,6.22,0.0590
1530397800,0,0.35,49.11,0.65,1009.56,61.11,1.68,6.22,0.0625
1530398100,0,0.35,48.96,0.64,1009.55,61.11,1.4,6.22,0.0660
1530398400,0,0.35,48.81,0.64,1009.54,61.11,1.12,6.22,0.0694
1530398700,0,0.35,48.66,0.64,1009.53,61.11,0.84,6.22,0.0729
1530399000,0,0.35,48.51,0.63,1009.52,61.11,0.56,6.22,0.0764
1530399300,0,0.35,48.35,0.63,1009.51,61.11,0.28,6.22,0.0799
1530399600,0,0.35,48.2,0.63,1009.5,61.11,0.0,6.22,0.0833
1530399900,0,0.35,48.37,0.63,1009.5,60.96,0.0,6.22,0.0868
1530400200,0,0.35,48.53,0.64,1009.49,60.81,0.0,6.22,0.0903
1530400500,0,0.35,48.69,0.65,1009.49,60.66,0.0,6.22,0.0938
1530400800,0,0.35,48.85,0.65,1009.48,60.51,0.0,6.22,0.0972
1530401100,0,0.35,49.0,0.66,1009.48,60.36,0.0,6.22,0.1007
1530401400,0,0.35,49.15,0.67,1009.47,60.21,0.0,6.22,0.1042
1530401700,0,0.35,49.3,0.68,1009.46,60.05,0.0,6.22,0.1076
1530402000,0,0.35,49.44,0.68,1009.46,59.9,0.0,6.22,0.1111
1530402300,0,0.35,49.58,0.69,1009.45,59.75,0.0,6.22,0.1146
1530402600,0,0.35,49.72,0.7,1009.45,59.6,0.0,6.22,0.1181
1530402900,0,0.35,49.86,0.71,1009.44,59.45,0.0,6.22,0.1215
1530403200,0,0.35,49.99,0.71,1009.43,59.3,0.0,6.22,0.1250
1530403500,0,0.35,49.84,0.71,1009.44,59.3,0.28,6.22,0.1285
1530403800,0,0.35,49.7,0.7,1009.44,59.3,0.56,6.22,0.1319
1530404100,0,0.35,49.55,0.7,1009.44,59.3,0.84,6.22,0.1354
1530404400,0,0.35,49.4,0.7,1009.44,59.3,1.12,6.22,0.1389
1530404700,0,0.35,49.26,0.69,1009.45,59.3,1.4,6.22,0.1424
1530405000,0,0.35,49.11,0.69,1009.45,59.3,1.68,6.22,0.1458
1530405300,0,0.35,48.96,0.69,1009.45,59.3,1.96,6.22,0.1493
1530405600,0,0.35,48.81,0.68,1009.45,59.3,2.24,6.22,0.1528
1530405900,0,0.35,48.66,0.68,1009.46,59.3,2.52,6.22,0.1563
1530406200,0,0.35,48.51,0.67,1009.46,59.3,2.8,6.22,0.1597
1530406500,0,0.35,48.36,0.67,1009.46,59.3,3.08,6.22,0.1632
1530406800,0,0.35,48.2,0.67,1009.46,59.3,3.36,6.22,0.1667
1530407100,0,0.35,48.25,0.68,1009.48,58.85,3.17,6.22,0.1701
1530407400,0,0.35,48.29,0.69,1009.49,58.4,3.04,6.22,0.1736
1530407700,0,0.35,48.31,0.7,1009.5,57.95,2.97,6.22,0.1771
1530408000,0,0.35,48.33,0.71,1009.51,57.5,2.95,6.22,0.1806
1530408300,0,0.35,48.34,0.73,1009.53,57.05,3.01,6.22,0.1840
1530408600,0,0.35,48.35,0.74,1009.54,56.6,3.12,6.22,0.1875
1530408900,0,0.35,48.34,0.75,1009.55,56.15,3.29,6.22,0.1910
1530409200,0,0.35,48.33,0.76,1009.56,55.7,3.51,6.22,0.1944
1530409500,0,0.35,48.31,0.77,1009.58,55.25,3.76,6.22,0.1979
1530409800,0,0.35,48.28,0.79,1009.59,54.8,4.04,6.22,0.2014
1530410100,0,0.35,48.25,0.8,1009.6,54.35,4.35,6.22,0.2049
1530410400,0,0.35,48.2,0.81,1009.61,53.9,4.69,6.22,0.2083
1530410700,0,0.35,48.21,0.81,1009.63,54.05,4.56,6.22,0.2118
1530411000,0,0.35,48.21,0.8,1009.66,54.2,4.45,6.22,0.2153
1530411300,0,0.35,48.22,0.8,1009.68,54.35,4.37,6.22,0.2188
1530411600,0,0.35,48.22,0.79,1009.7,54.5,4.31,6.22,0.2222
1530411900,0,0.35,48.22,0.79,1009.72,54.66,4.27,6.22,0.2257
