,cloudCover,dewPoint,humidity,ozone,pressure,temp,uvIndex,visibility,windBearing,windGust,windSpeed
2018-07-17 00:00:00,0.0,48.45,0.57,296.97,1011.84,63.87,0,9.97,329,8.87,5.71
2018-05-10 08:50:00,0.72,51.37,0.82,,1007.37,56.92,,5.9,235,,1.9
2018-05-10 08:55:00,0.72,51.33,0.81,,1007.41,57.11,,6.06,234,,1.97
2018-05-10 09:00:00,0.73,51.28,0.8,,1007.45,57.3,,6.22,232,,2.04
2018-05-10 09:05:00,0.72,51.23,0.79,,1007.44,57.57,,6.22,235,,2.3
2018-05-10 09:10:00,0.72,51.18,0.78,,1007.42,57.83,,6.22,237,,2.57
2018-05-10 09:15:00,0.71,51.13,0.78,,1007.41,58.1,,6.22,239,,2.84
2018-05-10 09:20:00,0.7,51.07,0.77,,1007.4,58.37,,6.22,240,,3.12
2018-05-10 09:25:00,0.7,51.01,0.76,,1007.39,58.63,,6.22,242,,3.39
2018-05-10 09:30:00,0.69,50.94,0.75,,1007.38,58.9,,6.22,243,,3.67
2018-05-10 09:35:00,0.68,50.88,0.74,,1007.37,59.16,,6.22,244,,3.95
2018-05-10 09:40:00,0.68,50.8,0.73,,1007.35,59.43,,6.22,244,,4.23
2018-05-10 09:45:00,0.67,50.72,0.72,,1007.34,59.69,,6.22,245,,4.51
2018-05-10 09:50:00,0.66,50.64,0.71,,1007.33,59.96,,6.22,246,,4.79
2018-05-10 09:55:00,0.66,50.55,0.7,,1007.32,60.23,,6.22,246,,5.07
2018-05-10 10:00:00,0.65,50.46,0.69,,1007.31,60.49,,6.22,247,,5.35
2018-05-10 10:05:00,0.65,50.4,0.69,,1007.26,60.64,,6.22,247,,5.48
2018-05-10 10:10:00,0.65,50.34,0.68,,1007.22,60.8,,6.22,248,,5.6
2018-05-10 10:15:00,0.65,50.28,0.68,,1007.18,60.95,,6.22,248,,5.73
2018-05-10 10:20:00,0.65,50.22,0.67,,1007.14,61.1,,6.22,248,,5.86
2018-05-10 10:25:00,0.65,50.15,0.67,,1007.09,61.26,,6.22,249,,5.99
2018-05-10 10:30:00,0.65,50.09,0.66,,1007.05,61.41,,6.22,249,,6.11
2018-05-10 10:35:00,0.65,50.02,0.66,,1007.01,61.56,,6.22,249,,6.24
2018-05-10 10:40:00,0.65,49.95,0.65,,1006.97,61.72,,6.22,250,,6.37
2018-05-10 10:45:00,0.65,49.88,0.65,,1006.92,61.87,,6.22,250,,6.5
2018-05-10 10:50:00,0.65,49.81,0.64,,1006.88,62.02,,6.22,250,,6.63
2018-05-10 10:55:00,0.65,49.73,0.64,,1006.84,62.17,,6.22,251,,6.76
