,cloudCover,dewPoint,humidity,ozone,pressure,summary,temp,uvIndex,visibility,windBearing,windGust,windSpeed
2018-07-01 00:00:00,0.36,49.98,0.63,,1009.71,Partly Cloudy,62.9,,6.22,330,,4.02
2018-07-01 00:00:00,0.36,49.98,0.63,,1009.71,,62.9,,6.22,330,,4.02
2018-07-01 00:05:00,0.36,49.99,0.63,,1009.7,,62.75,,6.22,333,,3.9
2018-07-01 00:10:00,0.36,49.99,0.63,,1009.69,,62.6,,6.22,335,,3.79
2018-07-01 00:15:00,0.36,50.0,0.64,,1009.68,,62.45,,6.22,338,,3.69
2018-07-01 00:20:00,0.36,50.0,0.64,,1009.68,,62.3,,6.22,342,,3.6
2018-07-01 00:25:00,0.36,50.0,0.64,,1009.67,,62.15,,6.22,345,,3.53
2018-07-01 00:30:00,0.35,50.0,0.65,,1009.66,,62.0,,6.22,348,,3.46
2018-07-01 00:35:00,0.35,50.0,0.65,,1009.65,,61.85,,6.22,352,,3.41
2018-07-01 00:40:00,0.35,50.0,0.65,,1009.65,,61.7,,6.22,356,,3.37
2018-07-01 00:45:00,0.35,50.0,0.66,,1009.64,,61.55,,6.22,359,,3.35
2018-07-01 00:50:00,0.35,49.99,0.66,,1009.63,,61.41,,6.22,3,,3.34
2018-07-01 00:55:00,0.35,49.99,0.66,,1009.63,,61.26,,6.22,7,,3.34
2018-07-01 01:00:00,0.35,49.99,0.67,,1009.62,,61.11,,6.22,11,,3.36
2018-07-01 01:05:00,0.35,49.84,0.66,,1009.61,,61.11,,6.22,11,,3.08
2018-07-01 01:10:00,0.35,49.7,0.66,,1009.6,,61.11,,6.22,11,,2.8
2018-07-01 01:15:00,0.35,49.55,0.66,,1009.59,,61.11,,6.22,11,,2.52
2018-07-01 01:20:00,0.35,49.4,0.65,,1009.58,,61.11,,6.22,11,,2.24
2018-07-01 01:25:00,0.35,49.26,0.65,,1009.57,,61.11,,6.22,11,,1.96
2018-07-01 01:30:00,0.35,49.11,0.65,,1009.56,,61.11,,6.22,11,,1.68
2018-07-01 01:35:00,0.35,48.96,0.64,,1009.55,,61.11,,6.22,11,,1.4
2018-07-01 01:40:00,0.35,48.81,0.64,,1009.54,,61.11,,6.22,11,,1.12
2018-07-01 01:45:00,0.35,48.66,0.64,,1009.53,,61.11,,6.22,11,,0.84
2018-07-01 01:50:00,0.35,48.51,0.63,,1009.52,,61.11,,6.22,11,,0.56
2018-07-01 01:55:00,0.35,48.35,0.63,,1009.51,,61.11,,6.22,11,,0.28
2018-07-01 02:00:00,0.35,48.2,0.63,,1009.5,,61.11,,6.22,,,0.0
2018-07-01 02:05:00,0.35,48.37,0.63,,1009.5,,60.96,,6.22,,,0.0
2018-07-01 02:10:00,0.35,48.53,0.64,,1009.49,,60.81,,6.22,,,0.0
2018-07-01 02:15:00,0.35,48.69,0.65,,1009.49,,60.66,,6.22,,,0.0
2018-07-01 02:20:00,0.35,48.85,0.65,,1009.48,,60.51,,6.22,,,0.0
2018-07-01 02:25:00,0.35,49.0,0.66,,1009.48,,60.36,,6.22,,,0.0
2018-07-01 02:30:00,0.35,49.15,0.67,,1009.47,,60.21,,6.22,,,0.0
2018-07-01 02:35:00,0.35,49.3,0.68,,1009.46,,60.05,,6.22,,,0.0
2018-07-01 02:40:00,0.35,49.44,0.68,,1009.46,,59.9,,6.22,,,0.0
2018-07-01 02:45:00,0.35,49.58,0.69,,1009.45,,59.75,,6.22,,,0.0
2018-07-01 02:50:00,0.35,49.72,0.7,,1009.45,,59.6,,6.22,,,0.0
2018-07-01 02:55:00,0.35,49.86,0.71,,1009.44,,59.45,,6.22,,,0.0
2018-07-01 03:00:00,0.35,49.99,0.71,,1009.43,,59.3,,6.22,,,0.0
2018-07-01 03:05:00,0.35,49.84,0.71,,1009.44,,59.3,,6.22,50,,0.28
2018-07-01 03:10:00,0.35,49.7,0.7,,1009.44,,59.3,,6.22,50,,0.56
2018-07-01 03:15:00,0.35,49.55,0.7,,1009.44,,59.3,,6.22,50,,0.84
2018-07-01 03:20:00,0.35,49.4,0.7,,1009.44,,59.3,,6.22,50,,1.12
2018-07-01 03:25:00,0.35,49.26,0.69,,1009.45,,59.3,,6.22,50,,1.4
2018-07-01 03:30:00,0.35,49.11,0.69,,1009.45,,59.3,,6.22,50,,1.68
2018-07-01 03:35:00,0.35,48.96,0.69,,1009.45,,59.3,,6.22,50,,1.96
2018-07-01 03:40:00,0.35,48.81,0.68,,1009.45,,59.3,,6.22,50,,2.24
2018-07-01 03:45:00,0.35,48.66,0.68,,1009.46,,59.3,,6.22,50,,2.52
2018-07-01 03:50:00,0.35,48.51,0.67,,1009.46,,59.3,,6.22,50,,2.8
2018-07-01 03:55:00,0.35,48.36,0.67,,1009.46,,59.3,,6.22,50,,3.08
2018-07-01 04:00:00,0.35,48.2,0.67,,1009.46,,59.3,,6.22,50,,3.36
2018-07-01 04:05:00,0.35,48.25,0.68,,1009.48,,58.85,,6.22,43,,3.17
2018-07-01 04:10:00,0.35,48.29,0.69,,1009.49,,58.4,,6.22,35,,3.04
2018-07-01 04:15:00,0.35,48.31,0.7,,1009.5,,57.95,,6.22,27,,2.97
2018-07-01 04:20:00,0.35,48.33,0.71,,1009.51,,57.5,,6.22,18,,2.95
2018-07-01 04:25:00,0.35,48.34,0.73,,1009.53,,57.05,,6.22,10,,3.01
2018-07-01 04:30:00,0.35,48.35,0.74,,1009.54,,56.6,,6.22,2,,3.12
2018-07-01 04:35:00,0.35,48.34,0.75,,1009.55,,56.15,,6.22,355,,3.29
2018-07-01 04:40:00,0.35,48.33,0.76,,1009.56,,55.7,,6.22,348,,3.51
2018-07-01 04:45:00,0.35,48.31,0.77,,1009.58,,55.25,,6.22,343,,3.76
2018-07-01 04:50:00,0.35,48.28,0.79,,1009.59,,54.8,,6.22,338,,4.04
2018-07-01 04:55:00,0.35,48.25,0.8,,1009.6,,54.35,,6.22,334,,4.35
2018-07-01 05:00:00,0.35,48.2,0.81,,1009.61,,53.9,,6.22,330,,4.69
2018-07-01 05:05:00,0.35,48.21,0.81,,1009.63,,54.05,,6.22,334,,4.56
2018-07-01 05:10:00,0.35,48.21,0.8,,1009.66,,54.2,,6.22,338,,4.45
2018-07-01 05:15:00,0.35,48.22,0.8,,1009.68,,54.35,,6.22,342,,4.37
2018-07-01 05:20:00,0.35,48.22,0.79,,1009.7,,54.5,,6.22,346,,4.31
2018-07-01 05:25:00,0.35,48.22,0.79,,1009.72,,54.66,,6.22,350,,4.27
2018-07-01 05:30:00,0.35,48.22,0.78,,1009.74,,54.81,,6.22,355,,4.26
2018-07-01 05:35:00,0.35,48.22,0.78,,1009.76,,54.96,,6.22,359,,4.27
2018-07-01 05:40:00,0.35,48.22,0.78,,1009.78,,55.11,,6.22,3,,4.31
2018-07-01 05:45:00,0.35,48.22,0.77,,1009.8,,55.26,,6.22,8,,4.37
2018-07-01 05:50:00,0.35,48.21,0.77,,1009.83,,55.41,,6.22,12,,4.45
2018-07-01 05:55:00,0.35,48.21,0.76,,1009.85,,55.56,,6.22,16,,4.56
2018-07-01 06:00:00,0.35,48.2,0.76,,1009.87,,55.71,,6.22,20,,4.69
