,cloudCover,dewPoint,humidity,icon,pressure,temp,visibility,windBearing,windSpeed
1521061200,0.38,37.61,0.79,partly-cloudy-night,1010.95,42.42,6.22,238,3.03
1521061200,0.38,37.61,0.79,partly-cloudy-night,1010.95,42.42,6.22,238,3.03
1521061500,0.38,37.57,0.79,partly-cloudy-night,1010.93,43.59,6.22,237,2.99
1521061800,0.39,37.53,0.79,partly-cloudy-night,1010.92,43.56,6.22,236,2.95
1521062100,0.39,37.49,0.79,partly-cloudy-night,1010.91,43.53,6.22,234,2.91
1521062400,0.4,37.45,0.79,partly-cloudy-night,1010.9,43.51,6.22,233,2.87
1521062700,0.4,37.41,0.79,partly-cloudy-night,1010.88,43.48,6.22,232,2.84
1521063000,0.41,37.37,0.79,partly-cloudy-night,1010.87,43.46,6.22,231,2.8
1521063300,0.41,37.33,0.79,partly-cloudy-night,1010.86,43.43,6.22,229,2.77
1521063600,0.42,37.29,0.79,partly-cloudy-night,1010.85,43.4,6.22,228,2.74
1521063900,0.42,37.25,0.79,partly-cloudy-night,1010.84,43.38,6.22,226,2.71
1521064200,0.43,37.22,0.79,partly-cloudy-night,1010.82,43.35,6.22,225,2.68
1521064500,0.43,37.18,0.79,partly-cloudy-night,1010.81,43.33,6.22,224,2.65
1521064800,0.44,37.14,0.79,partly-cloudy-night,1010.8,43.3,6.22,222,2.62
1521065100,0.44,37.13,0.79,partly-cloudy-night,1010.83,43.26,6.22,222,2.6
1521065400,0.44,37.12,0.79,partly-cloudy-night,1010.87,43.22,6.22,222,2.58
1521065700,0.44,37.11,0.79,partly-cloudy-night,1010.9,43.18,6.22,222,2.56
1521066000,0.44,37.1,0.79,partly-cloudy-night,1010.94,43.14,6.22,222,2.54
1521066300,0.44,37.09,0.79,partly-cloudy-night,1010.97,43.1,6.22,222,2.52
1521066600,0.44,37.08,0.79,partly-cloudy-night,1011.0,43.06,6.22,222,2.5
1521066900,0.44,37.06,0.79,partly-cloudy-night,1011.04,43.02,6.22,222,2.48
1521067200,0.44,37.05,0.79,partly-cloudy-night,1011.07,42.98,6.22,221,2.46
1521067500,0.44,37.04,0.8,partly-cloudy-night,1011.11,42.93,6.22,221,2.44
1521067800,0.44,37.03,0.8,partly-cloudy-night,1011.14,42.89,6.22,221,2.42
1521068100,0.44,37.02,0.8,partly-cloudy-night,1011.18,42.85,6.22,221,2.4
1521068400,0.44,37.01,0.8,partly-cloudy-night,1011.21,42.81,6.22,221,2.38
1521068700,0.44,36.95,0.8,partly-cloudy-night,1011.19,42.69,6.22,220,2.23
1521069000,0.45,36.9,0.8,partly-cloudy-night,1011.16,42.57,6.22,219,2.08
1521069300,0.45,36.84,0.8,partly-cloudy-night,1011.14,42.45,6.22,218,1.93
1521069600,0.45,36.78,0.81,partly-cloudy-night,1011.12,42.32,6.22,216,1.78
1521069900,0.46,36.72,0.81,partly-cloudy-night,1011.09,42.2,6.22,214,1.64
1521070200,0.46,36.66,0.81,partly-cloudy-night,1011.07,42.08,6.22,212,1.49
1521070500,0.46,36.6,0.81,partly-cloudy-night,1011.05,41.96,6.22,209,1.35
1521070800,0.47,36.54,0.81,partly-cloudy-night,1011.02,41.84,6.22,206,1.21
