,cloudCover,dewPoint,humidity,icon,pressure,temp,visibility,windBearing,windSpeed
1525376400,0.42,45.49,0.51,partly-cloudy-night,1009.87,63.93,6.22,100,1.82
1525376400,0.42,45.49,0.51,partly-cloudy-night,1009.87,63.93,6.22,100,1.82
1525376700,0.43,45.61,0.52,partly-cloudy-night,1009.91,63.48,6.22,96,1.63
1525377000,0.43,45.72,0.53,partly-cloudy-night,1009.94,63.02,6.22,90,1.44
1525377300,0.43,45.81,0.54,partly-cloudy-night,1009.97,62.56,6.22,83,1.28
1525377600,0.44,45.9,0.55,partly-cloudy-night,1010.01,62.1,6.22,74,1.14
1525377900,0.42,45.83,0.56,partly-cloudy-night,1010.08,61.83,6.22,72,1.21
1525378200,0.4,45.76,0.56,partly-cloudy-night,1010.15,61.57,6.22,70,1.28
1525378500,0.38,45.69,0.56,partly-cloudy-night,1010.22,61.31,6.22,68,1.36
1525378800,0.35,45.61,0.57,partly-cloudy-night,1010.29,61.04,6.22,66,1.44
1525379100,0.33,45.54,0.57,partly-cloudy-night,1010.36,60.78,6.22,65,1.51
1525379400,0.31,45.46,0.58,partly-cloudy-night,1010.43,60.51,6.22,64,1.59
1525379700,0.29,45.39,0.58,partly-cloudy-night,1010.5,60.25,6.22,63,1.67
1525380000,0.27,45.31,0.58,partly-cloudy-night,1010.57,59.98,6.22,62,1.75
1525380300,0.25,45.23,0.59,partly-cloudy-night,1010.64,59.72,6.22,61,1.83
1525380600,0.23,45.15,0.59,clear-night,1010.71,59.45,6.22,60,1.91
1525380900,0.21,45.06,0.59,clear-night,1010.78,59.19,6.22,59,2.0
1525381200,0.19,44.98,0.6,clear-night,1010.85,58.93,6.22,58,2.08
1525381500,0.19,44.94,0.6,clear-night,1010.8,58.91,6.22,60,1.97
1525381800,0.19,44.9,0.6,clear-night,1010.75,58.89,6.22,61,1.87
1525382100,0.19,44.86,0.6,clear-night,1010.71,58.87,6.22,62,1.76
1525382400,0.19,44.82,0.6,clear-night,1010.66,58.86,6.22,64,1.66
1525382700,0.19,44.78,0.6,clear-night,1010.62,58.84,6.22,66,1.56
1525383000,0.19,44.74,0.59,clear-night,1010.57,58.82,6.22,68,1.46
1525383300,0.19,44.7,0.59,clear-night,1010.53,58.8,6.22,71,1.36
1525383600,0.19,44.67,0.59,clear-night,1010.48,58.79,6.22,73,1.26
1525383900,0.19,44.63,0.59,clear-night,1010.44,58.77,6.22,77,1.17
1525384200,0.19,44.59,0.59,clear-night,1010.39,58.75,6.22,80,1.09
