,cloudCover,dewPoint,humidity,ozone,pressure,temp,uvIndex,visibility,windBearing,windGust,windSpeed
2018-03-17 01:55:00,0.74,36.99,0.68,,1014.62,45.99,0,6.22,148,8.16,3.5
2018-03-15 00:00:00,0.38,37.61,0.79,,1010.95,42.42,0,6.22,238,7.99,3.03
2018-03-15 00:05:00,0.38,37.57,0.79,,1010.93,43.59,0,6.22,237,7.99,2.99
2018-03-15 00:10:00,0.39,37.53,0.79,,1010.92,43.56,0,6.22,236,7.99,2.95
2018-03-15 00:15:00,0.39,37.49,0.79,,1010.91,43.53,0,6.22,234,7.99,2.91
2018-03-15 00:20:00,0.4,37.45,0.79,,1010.9,43.51,0,6.22,233,7.99,2.87
2018-03-15 00:25:00,0.4,37.41,0.79,,1010.88,43.48,0,6.22,232,7.99,2.84
2018-03-15 00:30:00,0.41,37.37,0.79,,1010.87,43.46,0,6.22,231,7.99,2.8
2018-03-15 00:35:00,0.41,37.33,0.79,,1010.86,43.43,0,6.22,229,7.99,2.77
2018-03-15 00:40:00,0.42,37.29,0.79,,1010.85,43.4,0,6.22,228,7.99,2.74
2018-03-15 00:45:00,0.42,37.25,0.79,,1010.84,43.38,0,6.22,226,7.99,2.71
2018-03-15 00:50:00,0.43,37.22,0.79,,1010.82,43.35,0,6.22,225,7.99,2.68
2018-03-15 00:55:00,0.43,37.18,0.79,,1010.81,43.33,0,6.22,224,7.99,2.65
2018-03-15 01:00:00,0.44,37.14,0.79,,1010.8,43.3,0,6.22,222,7.99,2.62
2018-03-15 01:05:00,0.44,37.13,0.79,,1010.83,43.26,0,6.22,222,7.99,2.6
2018-03-15 01:10:00,0.44,37.12,0.79,,1010.87,43.22,0,6.22,222,7.99,2.58
2018-03-15 01:15:00,0.44,37.11,0.79,,1010.9,43.18,0,6.22,222,7.99,2.56
2018-03-15 01:20:00,0.44,37.1,0.79,,1010.94,43.14,0,6.22,222,7.99,2.54
2018-03-15 01:25:00,0.44,37.09,0.79,,1010.97,43.1,0,6.22,222,7.99,2.52
2018-03-15 01:30:00,0.44,37.08,0.79,,1011.0,43.06,0,6.22,222,7.99,2.5
2018-03-15 01:35:00,0.44,37.06,0.79,,1011.04,43.02,0,6.22,222,7.99,2.48
2018-03-15 01:40:00,0.44,37.05,0.79,,1011.07,42.98,0,6.22,221,7.99,2.46
2018-03-15 01:45:00,0.44,37.04,0.8,,1011.11,42.93,0,6.22,221,7.99,2.44
2018-03-15 01:50:00,0.44,37.03,0.8,,1011.14,42.89,0,6.22,221,7.99,2.42
2018-03-15 01:55:00,0.44,37.02,0.8,,1011.18,42.85,0,6.22,221,7.99,2.4
2018-03-15 02:00:00,0.44,37.01,0.8,,1011.21,42.81,0,6.22,221,7.99,2.38
2018-03-15 02:05:00,0.44,36.95,0.8,,1011.19,42.69,0,6.22,220,7.82,2.23
2018-03-15 02:10:00,0.45,36.9,0.8,,1011.16,42.57,0,6.22,219,7.66,2.08
2018-03-15 02:15:00,0.45,36.84,0.8,,1011.14,42.45,0,6.22,218,7.49,1.93
2018-03-15 02:20:00,0.45,36.78,0.81,,1011.12,42.32,0,6.22,216,7.33,1.78
2018-03-15 02:25:00,0.46,36.72,0.81,,1011.09,42.2,0,6.22,214,7.16,1.64
2018-03-15 02:30:00,0.46,36.66,0.81,,1011.07,42.08,0,6.22,212,7.0,1.49
2018-03-15 02:35:00,0.46,36.6,0.81,,1011.05,41.96,0,6.22,209,6.83,1.35
2018-03-15 02:40:00,0.47,36.54,0.81,,1011.02,41.84,0,6.22,206,6.67,1.21
2018-03-15 02:45:00,0.47,36.48,0.82,,1011.0,41.72,0,6.22,201,6.5,1.08
2018-03-15 02:50:00,0.48,36.42,0.82,,1010.98,41.59,0,6.22,196,6.34,0.96
2018-03-15 02:55:00,0.48,36.36,0.82,,1010.95,41.47,0,6.22,189,6.17,0.84
2018-03-15 03:00:00,0.48,36.3,0.82,,1010.93,41.35,0,6.22,180,6.0,0.75
2018-03-15 03:05:00,0.49,36.28,0.82,,1010.87,41.3,0,6.22,187,6.09,0.77
2018-03-15 03:10:00,0.5,36.25,0.82,,1010.81,41.26,0,6.22,193,6.17,0.81
2018-03-15 03:15:00,0.5,36.22,0.82,,1010.75,41.21,0,6.22,198,6.26,0.85
2018-03-15 03:20:00,0.51,36.19,0.82,,1010.69,41.17,0,6.22,203,6.34,0.9
2018-03-15 03:25:00,0.52,36.17,0.82,,1010.63,41.12,0,6.22,207,6.42,0.96
2018-03-15 03:30:00,0.53,36.14,0.82,,1010.57,41.07,0,6.22,211,6.51,1.02
2018-03-15 03:35:00,0.53,36.11,0.82,,1010.5,41.03,0,6.22,214,6.59,1.08
2018-03-15 03:40:00,0.54,36.09,0.83,,1010.44,40.98,0,6.22,217,6.68,1.15
2018-03-15 03:45:00,0.55,36.06,0.83,,1010.38,40.94,0,6.22,220,6.76,1.22
2018-03-15 03:50:00,0.56,36.03,0.83,,1010.32,40.89,0,6.22,223,6.85,1.3
2018-03-15 03:55:00,0.56,36.01,0.83,,1010.26,40.84,0,6.22,225,6.93,1.37
2018-03-15 04:00:00,0.57,35.98,0.83,,1010.2,40.8,0,6.22,227,7.01,1.45
2018-03-15 04:05:00,0.57,36.0,0.83,,1010.21,40.67,0,6.22,227,6.84,1.37
2018-03-15 04:10:00,0.57,36.02,0.84,,1010.22,40.54,0,6.22,227,6.68,1.3
2018-03-15 04:15:00,0.57,36.05,0.84,,1010.23,40.41,0,6.22,228,6.51,1.22
2018-03-15 04:20:00,0.57,36.06,0.85,,1010.23,40.28,0,6.22,229,6.34,1.15
2018-03-15 04:25:00,0.57,36.08,0.85,,1010.24,40.15,0,6.22,229,6.17,1.07
2018-03-15 04:30:00,0.57,36.1,0.86,,1010.25,40.02,0,6.22,230,6.0,1.0
2018-03-15 04:35:00,0.57,36.12,0.86,,1010.26,39.89,0,6.22,231,5.83,0.92
2018-03-15 04:40:00,0.57,36.14,0.87,,1010.27,39.77,0,6.22,232,5.67,0.85
2018-03-15 04:45:00,0.57,36.15,0.87,,1010.28,39.64,0,6.22,234,5.5,0.77
2018-03-15 04:50:00,0.57,36.17,0.88,,1010.28,39.51,0,6.22,235,5.33,0.7
2018-03-15 04:55:00,0.57,36.18,0.88,,1010.29,39.38,0,6.22,237,5.16,0.63
2018-03-15 05:00:00,0.57,36.19,0.89,,1010.3,39.25,0,6.22,240,4.99,0.55
2018-03-15 05:05:00,0.57,36.18,0.88,,1010.36,39.37,0,6.22,225,5.08,0.61
2018-03-15 05:10:00,0.57,36.16,0.88,,1010.42,39.49,0,6.22,213,5.16,0.7
2018-03-15 05:15:00,0.57,36.14,0.87,,1010.47,39.6,0,6.22,205,5.25,0.81
2018-03-15 05:20:00,0.57,36.12,0.87,,1010.53,39.72,0,6.22,198,5.33,0.93
