#Date;Time;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp;Uac;Idc1;Idc2;Iac
20.07.18;11:25:00;1;3653;10888;3;0;1284;1297;1302;339;339;342;224;2;3632;10786;3;0;1277;1285;1307;340;343;348;224;3;3625;10754;3;0;1263;1274;1290;344;345;345;224;4;4845;14406;3;0;3361;1696;466;459;229;5;3334;9749;3;0;1746;1771;0;448;446;0;224;6;3358;9054;3;0;1775;1780;0;449;451;0;224;7;3323;9703;3;0;1750;1755;0;444;444;0;224;8;5014;14631;3;0;3549;1783;453;450;226;9;2438;7163;3;0;1300;1302;335;338;223;10;3080;8779;1;0;1931;1250;328;219;57;225;5867;5675;13635
20.07.18;11:20:00;1;3641;10584;3;0;1280;1293;1298;339;340;340;225;2;3622;10483;3;0;1273;1282;1303;338;344;345;225;3;3616;10452;3;0;1260;1270;1287;344;345;345;224;4;4836;14002;3;0;3355;1698;467;465;229;5;3327;9471;3;0;1742;1767;0;448;446;0;224;6;3348;8775;3;0;1770;1774;0;449;451;0;224;7;3314;9427;3;0;1744;1751;0;444;445;0;224;8;5001;14214;3;0;3542;1777;455;452;226;9;2433;6960;3;0;1297;1300;335;340;224;10;3072;8523;1;0;1929;1251;328;219;57;225;5858;5675;13582
20.07.18;11:15:00;1;3652;10280;3;0;1282;1297;1302;338;341;342;224;2;3632;10181;3;0;1275;1285;1308;339;347;349;225;3;3624;10151;3;0;1260;1273;1291;344;347;346;224;4;4851;13599;3;0;3363;1704;467;469;229;5;3340;9194;3;0;1749;1773;0;448;448;0;224;6;3361;8496;3;0;1777;1781;0;450;452;0;224;7;3325;9151;3;0;1747;1758;0;445;447;0;224;8;5019;13797;3;0;3552;1786;456;453;226;9;2443;6757;3;0;1301;1306;336;341;224;10;3072;8268;1;0;1924;1249;329;219;57;225;5824;5672;13581
20.07.18;11:10:00;1;3629;9976;3;0;1276;1288;1294;341;343;344;225;2;3609;9879;3;0;1269;1276;1298;341;345;349;225;3;3599;9849;3;0;1254;1264;1282;344;348;348;224;4;4812;13195;3;0;3337;1693;468;465;229;5;3322;8915;3;0;1739;1764;0;451;449;0;224;6;3342;8215;3;0;1767;1771;0;452;454;0;224;7;3306;8873;3;0;1739;1748;0;446;448;0;224;8;4989;13379;3;0;3529;1774;457;455;226;9;2427;6553;3;0;1293;1298;336;342;224;10;3053;8012;1;0;1918;1241;333;220;57;225;5742;5605;13495
20.07.18;11:05:00;1;3554;9674;3;0;1251;1263;1267;342;345;345;224;2;3533;9579;3;0;1244;1250;1270;343;348;351;224;3;3523;9550;3;0;1229;1239;1254;347;350;349;224;4;4715;12795;3;0;3271;1656;472;467;229;5;3255;8639;3;0;1704;1728;0;454;454;0;224;6;3272;7938;3;0;1731;1735;0;455;456;0;224;7;3241;8599;3;0;1704;1712;0;452;451;0;224;8;4891;12964;3;0;3463;1739;461;456;226;9;2380;6351;3;0;1267;1271;341;343;224;10;2992;7757;1;0;1879;1211;333;224;57;225;5621;5376;13236
20.07.18;11:00:00;1;3513;9378;3;0;1235;1248;1255;341;344;344;225;2;3491;9285;3;0;1228;1236;1258;341;348;350;225;3;3481;9257;3;0;1214;1225;1240;346;348;349;224;4;4653;12403;3;0;3225;1637;469;469;229;5;3219;8369;3;0;1686;1710;0;452;452;0;224;6;3233;7720;3;0;1708;1717;0;455;457;0;224;7;3205;8383;3;0;1684;1693;0;449;453;0;224;8;4834;12557;3;0;3421;1721;460;457;226;9;2350;6153;3;0;1252;1256;338;343;224;10;2964;7520;1;0;1857;1204;333;224;56;225;5555;5359;13120
20.07.18;10:55:00;1;3472;9086;3;0;1220;1234;1240;341;345;345;225;2;3448;8995;3;0;1213;1221;1242;341;348;351;225;3;3438;8968;3;0;1200;1209;1224;347;350;349;224;4;4592;12018;3;0;3183;1614;469;468;229;5;3186;8101;3;0;1668;1691;0;456;453;0;224;6;3195;7398;3;0;1688;1697;0;456;458;0;224;7;3171;8064;3;0;1666;1675;0;450;451;0;224;8;4779;12157;3;0;3382;1700;461;459;226;9;2321;5958;3;0;1237;1240;338;343;224;10;2920;7262;1;0;1830;1190;337;224;56;225;5420;5293;12925
20.07.18;10:50:00;1;3469;8796;3;0;1220;1233;1240;342;345;346;224;2;3445;8707;3;0;1210;1220;1242;341;347;351;224;3;3434;8681;3;0;1197;1208;1224;346;349;348;224;4;4582;11634;3;0;3176;1614;468;466;229;5;3186;7835;3;0;1669;1690;0;456;454;0;224;6;3193;7185;3;0;1687;1695;0;456;458;0;224;7;3170;7799;3;0;1667;1674;0;449;453;0;224;8;4780;11758;3;0;3384;1701;461;460;226;9;2321;5764;3;0;1237;1240;338;342;224;10;2933;7017;1;0;1836;1195;337;223;56;225;5430;5324;12987
20.07.18;10:45:00;1;3463;8507;3;0;1218;1230;1236;346;346;348;225;2;3437;8420;3;0;1209;1217;1238;344;350;353;225;3;3427;8396;3;0;1195;1206;1220;348;352;351;224;4;4577;11254;3;0;3171;1609;473;470;229;5;3182;7570;3;0;1666;1688;0;459;456;0;225;6;3185;6866;3;0;1680;1693;0;460;461;0;224;7;3167;7535;3;0;1665;1671;0;452;455;0;225;8;4773;11360;3;0;3380;1695;464;462;226;9;2318;5571;3;0;1235;1238;340;346;224;10;2916;6773;1;0;1825;1184;339;224;56;225;5373;5272;12901
20.07.18;10:40:00;1;3442;8219;3;0;1213;1224;1229;347;350;350;225;2;3416;8134;3;0;1204;1210;1230;347;352;356;225;3;3409;8110;3;0;1191;1200;1212;352;355;354;224;4;4559;10871;3;0;3160;1602;477;476;229;5;3157;7305;3;0;1653;1674;0;462;459;0;225;6;3155;6600;3;0;1661;1679;0;461;464;0;225;7;3146;7271;3;0;1653;1659;0;457;457;0;225;8;4736;10962;3;0;3361;1677;469;463;226;9;2303;5378;3;0;1229;1231;343;347;224;10;2892;6529;1;0;1811;1172;342;227;56;225;5293;5139;12795
