#Date;Time;SumPac;Panel_temp;Hour_map
28.06.2018;14:05:00;36584;58;0.5868
28.06.2018;14:00:00;36750;58;0.5833
28.06.2018;13:55:00;36635;58;0.5799
28.06.2018;13:50:00;36681;58;0.5764
28.06.2018;13:45:00;36911;58;0.5729
28.06.2018;13:40:00;36982;58;0.5694
28.06.2018;13:35:00;37226;58;0.5660
28.06.2018;13:30:00;37667;58;0.5625
28.06.2018;13:25:00;33551;57;0.5590
28.06.2018;13:20:00;37551;58;0.5556
28.06.2018;13:15:00;37513;58;0.5521
28.06.2018;13:10:00;37551;58;0.5486
28.06.2018;13:05:00;37554;58;0.5451
28.06.2018;13:00:00;37746;58;0.5417
28.06.2018;12:55:00;38179;58;0.5382
28.06.2018;12:50:00;38276;58;0.5347
28.06.2018;12:45:00;38056;58;0.5313
28.06.2018;12:40:00;38100;58;0.5278
28.06.2018;12:35:00;38343;58;0.5243
28.06.2018;12:30:00;38104;58;0.5208
28.06.2018;12:25:00;38111;58;0.5174
28.06.2018;12:20:00;38315;58;0.5139
28.06.2018;12:15:00;37810;58;0.5104
28.06.2018;12:10:00;37958;58;0.5069
28.06.2018;12:05:00;38186;58;0.5035
28.06.2018;12:00:00;38096;57;0.5000
28.06.2018;11:55:00;37842;57;0.4965
28.06.2018;11:50:00;38734;57;0.4931
28.06.2018;11:45:00;38388;56;0.4896
28.06.2018;11:40:00;26538;52;0.4861
28.06.2018;11:35:00;18498;54;0.4826
28.06.2018;11:30:00;36159;57;0.4792
28.06.2018;11:25:00;36278;56;0.4757
28.06.2018;11:20:00;31340;56;0.4722
28.06.2018;11:15:00;35512;57;0.4688
28.06.2018;11:10:00;35466;57;0.4653
28.06.2018;11:05:00;35326;57;0.4618
28.06.2018;11:00:00;34267;58;0.4583
28.06.2018;10:55:00;34277;58;0.4549
28.06.2018;10:50:00;34600;58;0.4514
28.06.2018;10:45:00;34120;58;0.4479
28.06.2018;10:40:00;33700;57;0.4444
28.06.2018;10:35:00;33366;57;0.4410
28.06.2018;10:30:00;32789;57;0.4375
28.06.2018;10:25:00;32440;57;0.4340
28.06.2018;10:20:00;32247;56;0.4306
28.06.2018;10:15:00;31953;56;0.4271
28.06.2018;10:10:00;31594;56;0.4236
28.06.2018;10:05:00;31088;55;0.4201
28.06.2018;10:00:00;30532;55;0.4167
28.06.2018;09:55:00;30028;55;0.4132
28.06.2018;09:50:00;29679;54;0.4097
28.06.2018;09:45:00;29198;54;0.4063
28.06.2018;09:40:00;28728;54;0.4028
28.06.2018;09:35:00;28099;53;0.3993
28.06.2018;09:30:00;27534;53;0.3958
28.06.2018;09:25:00;26911;52;0.3924
28.06.2018;09:20:00;26307;52;0.3889
28.06.2018;09:15:00;25691;51;0.3854
28.06.2018;09:10:00;25002;50;0.3819
28.06.2018;09:05:00;24417;49;0.3785
28.06.2018;09:00:00;23793;48;0.3750
28.06.2018;08:55:00;23000;47;0.3715
28.06.2018;08:50:00;22439;45;0.3681
28.06.2018;08:45:00;21749;44;0.3646
28.06.2018;08:40:00;21022;43;0.3611
28.06.2018;08:35:00;20283;42;0.3576
28.06.2018;08:30:00;19478;40;0.3542
28.06.2018;08:25:00;18649;39;0.3507
28.06.2018;08:20:00;17908;38;0.3472
28.06.2018;08:15:00;17125;37;0.3438
28.06.2018;08:10:00;16286;36;0.3403
28.06.2018;08:05:00;15607;35;0.3368
28.06.2018;08:00:00;14966;34;0.3333
28.06.2018;07:55:00;14194;33;0.3299
28.06.2018;07:50:00;13490;32;0.3264
28.06.2018;07:45:00;12694;31;0.3229
28.06.2018;07:40:00;11891;30;0.3194
28.06.2018;07:35:00;11121;29;0.3160
28.06.2018;07:30:00;10339;28;0.3125
28.06.2018;07:25:00;9512;27;0.3090
28.06.2018;07:20:00;8718;27;0.3056
28.06.2018;07:15:00;7949;26;0.3021
28.06.2018;07:10:00;7242;26;0.2986
28.06.2018;07:05:00;6569;25;0.2951
28.06.2018;07:00:00;5950;25;0.2917
28.06.2018;06:55:00;5288;24;0.2882
28.06.2018;06:50:00;4656;24;0.2847
