time;cloudCover;dewPoint;humidity;pressure;temp;visibility;windBearing;windSpeed;;;
1525122000;0.57;26.65;0.37;1013.11;51.79;6.22;200;2.24;;;
1525122300;0.56;26.65;0.37;1013.1;51.79;6.22;199;2.03;;;
1525122600;0.56;26.65;0.37;1013.09;51.79;6.22;199;1.82;;;
1525122900;0.56;26.65;0.37;1013.08;51.79;6.22;199;1.6;;;
1525123200;0.56;26.65;0.37;1013.08;51.79;6.22;198;1.39;;;
1525123500;0.56;26.65;0.37;1013.07;51.79;6.22;198;1.17;;;
1525123800;0.56;26.65;0.37;1013.06;51.79;6.22;197;0.96;;;
1525124100;0.56;26.65;0.37;1013.05;51.79;6.22;195;0.75;;;
1525124400;0.56;26.65;0.37;1013.04;51.79;6.22;193;0.54;;;
1525124700;0.56;26.65;0.37;1013.04;51.79;6.22;187;0.33;;;
1525125000;0.56;26.65;0.37;1013.03;51.79;6.22;162;0.13;;;
1525125300;0.56;26.65;0.37;1013.02;51.79;6.22;58;0.14;;;
1525125600;0.56;26.65;0.37;1013.01;51.79;6.22;36;0.34;;;
1525125900;0.56;26.8;0.38;1013;51.79;6.22;89;0.32;;;
1525126200;0.56;26.96;0.38;1013;51.79;6.22;120;0.51;;;
1525126500;0.56;27.11;0.38;1012.99;51.79;6.22;133;0.77;;;
1525126800;0.56;27.26;0.38;1012.98;51.79;6.22;139;1.05;;;
1525127100;0.56;27.41;0.39;1012.97;51.79;6.22;142;1.33;;;
1525127400;0.56;27.56;0.39;1012.96;51.79;6.22;145;1.62;;;
1525127700;0.56;27.7;0.39;1012.95;51.79;6.22;146;1.91;;;
1525128000;0.56;27.85;0.39;1012.94;51.79;6.22;147;2.2;;;
1525128300;0.56;28;0.4;1012.93;51.79;6.22;148;2.49;;;
1525128600;0.56;28.14;0.4;1012.92;51.79;6.22;149;2.78;;;
1525128900;0.56;28.29;0.4;1012.91;51.79;6.22;150;3.07;;;
1525129200;0.56;28.43;0.4;1012.9;51.79;6.22;150;3.36;;;
1525129500;0.56;28.86;0.42;1012.9;51.34;6.22;149;3.35;;;
1525129800;0.56;29.26;0.43;1012.89;50.89;6.22;148;3.35;;;
1525130100;0.56;29.63;0.44;1012.89;50.44;6.22;147;3.35;;;
1525130400;0.56;29.98;0.46;1012.88;49.37;6.22;147;3.35;;;
1525130700;0.56;30.31;0.47;1012.88;48.86;6.22;146;3.35;;;
1525131000;0.56;30.61;0.49;1012.87;48.35;6.22;145;3.34;;;
1525131300;0.56;30.9;0.5;1012.87;47.84;6.22;144;3.35;;;
1525131600;0.56;31.16;0.51;1012.86;47.32;6.22;143;3.35;;;
1525131900;0.56;31.41;0.53;1012.86;46.81;6.22;142;3.35;;;
1525132200;0.56;31.63;0.54;1012.85;46.3;6.22;141;3.35;;;
1525132500;0.56;31.85;0.56;1012.85;45.78;6.22;140;3.35;;;
1525132800;0.56;32.04;0.57;1012.84;45.27;6.22;140;3.36;;;
1525133100;0.56;31.81;0.56;1012.85;45.78;6.22;140;3.17;;;
1525133400;0.56;31.57;0.55;1012.85;47;6.22;140;2.98;;;
1525133700;0.56;31.31;0.54;1012.85;47.3;6.22;141;2.79;;;
1525134000;0.56;31.05;0.52;1012.86;47.6;6.22;141;2.61;;;
1525134300;0.56;30.77;0.51;1012.86;47.9;6.22;142;2.42;;;
1525134600;0.56;30.48;0.5;1012.86;48.2;6.22;142;2.23;;;
1525134900;0.56;30.17;0.49;1012.87;48.5;6.22;143;2.04;;;
1525135200;0.56;29.86;0.48;1012.87;48.8;6.22;144;1.86;;;
1525135500;0.56;29.52;0.47;1012.87;49.09;6.22;145;1.67;;;
1525135800;0.56;29.18;0.45;1012.88;49.39;6.22;146;1.48;;;
1525136100;0.56;28.81;0.44;1012.88;49.69;6.22;148;1.3;;;
1525136400;0.56;28.43;0.43;1012.88;49.99;6.22;150;1.11;;;
1525136700;0.56;28.86;0.45;1012.9;49.54;6.22;150;1.02;;;
1525137000;0.56;29.26;0.46;1012.91;49.09;6.22;150;0.93;;;
1525137300;0.56;29.64;0.48;1012.93;48.64;6.22;150;0.84;;;
1525137600;0.56;29.99;0.49;1012.94;48.19;6.22;150;0.74;;;
1525137900;0.56;30.31;0.51;1012.95;47.74;6.22;150;0.65;;;
1525138200;0.56;30.62;0.52;1012.97;47.29;6.22;150;0.56;;;
1525138500;0.56;30.9;0.54;1012.98;46.84;6.22;150;0.46;;;
1525138800;0.56;31.16;0.55;1012.99;46.39;6.22;150;0.37;;;
1525139100;0.56;31.41;0.57;1013.01;45.94;6.22;150;0.28;;;
1525139400;0.56;31.64;0.58;1013.02;45.49;6.22;150;0.19;;;
1525139700;0.56;31.85;0.6;1013.04;45.04;6.22;150;0.09;;;
1525140000;0.56;32.04;0.61;1013.05;44.59;6.22;;0;;;
1525140300;0.56;32.04;0.61;1013.07;44.59;6.22;230;0.19;;;
1525140600;0.56;32.04;0.61;1013.09;44.59;6.22;230;0.37;;;
1525140900;0.56;32.04;0.61;1013.12;44.59;6.22;230;0.56;;;
1525141200;0.56;32.04;0.61;1013.14;44.59;6.22;230;0.75;;;
1525141500;0.56;32.04;0.61;1013.16;44.59;6.22;230;0.93;;;
1525141800;0.56;32.04;0.61;1013.18;44.59;6.22;230;1.12;;;
1525142100;0.56;32.04;0.61;1013.2;44.59;6.22;230;1.31;;;
1525142400;0.56;32.04;0.61;1013.23;44.59;6.22;230;1.5;;;
1525142700;0.56;32.04;0.61;1013.25;44.59;6.22;230;1.68;;;
1525143000;0.56;32.04;0.61;1013.27;44.59;6.22;230;1.87;;;
1525143300;0.56;32.04;0.61;1013.29;44.59;6.22;230;2.06;;;
1525143600;0.56;32.04;0.61;1013.31;44.59;6.22;230;2.24;;;
1525143900;0.56;32.19;0.62;1013.34;44.59;6.22;229;2.15;;;
1525144200;0.56;32.34;0.62;1013.36;44.59;6.22;229;2.05;;;
1525144500;0.56;32.49;0.62;1013.39;44.59;6.22;228;1.96;;;
1525144800;0.56;32.64;0.63;1013.42;44.59;6.22;228;1.86;;;
1525145100;0.56;32.78;0.63;1013.44;44.59;6.22;227;1.77;;;
1525145400;0.56;32.93;0.63;1013.47;44.59;6.22;227;1.67;;;
1525145700;0.56;33.08;0.64;1013.49;44.59;6.22;226;1.58;;;
1525146000;0.56;33.22;0.64;1013.52;44.59;6.22;225;1.49;;;
1525146300;0.56;33.36;0.64;1013.54;44.59;6.22;224;1.39;;;
1525146600;0.56;33.51;0.65;1013.57;44.59;6.22;223;1.3;;;
1525146900;0.56;33.65;0.65;1013.59;44.59;6.22;222;1.21;;;
1525147200;0.57;33.79;0.66;1013.62;44.59;6.22;221;1.11;;;
1525147500;0.57;33.87;0.64;1013.64;45.19;6.22;221;1.11;;;
1525147800;0.57;33.93;0.63;1013.66;45.79;6.22;222;1.11;;;
1525148100;0.57;33.98;0.62;1013.68;46.39;6.22;223;1.11;;;
1525148400;0.57;34.01;0.6;1013.71;46.99;6.22;223;1.11;;;
1525148700;0.57;34.04;0.59;1013.73;47.59;6.22;224;1.11;;;
1525149000;0.57;34.05;0.58;1013.75;48.19;6.22;225;1.11;;;
1525149300;0.57;34.04;0.57;1013.77;48.79;6.22;226;1.11;;;
1525149600;0.57;34.03;0.55;1013.79;49.39;6.22;227;1.11;;;
1525149900;0.57;33.99;0.54;1013.82;49.99;6.22;227;1.11;;;
1525150200;0.57;33.94;0.53;1013.84;50.59;6.22;228;1.11;;;
1525150500;0.57;33.88;0.51;1013.86;51.19;6.22;229;1.11;;;
1525150800;0.57;33.8;0.5;1013.88;51.79;6.22;230;1.11;;;
1525151100;0.57;33.9;0.49;1013.89;52.54;6.22;230;1.11;;;
1525151400;0.57;33.99;0.48;1013.91;53.29;6.22;230;1.11;;;
1525151700;0.57;34.06;0.47;1013.92;54.04;6.22;230;1.11;;;
1525152000;0.57;34.11;0.45;1013.93;54.79;6.22;230;1.11;;;
1525152300;0.57;34.15;0.44;1013.94;55.54;6.22;230;1.11;;;
1525152600;0.57;34.16;0.43;1013.95;56.3;6.22;230;1.11;;;
1525152900;0.57;34.16;0.42;1013.97;57.05;6.22;230;1.11;;;
1525153200;0.57;34.13;0.41;1013.98;57.8;6.22;230;1.11;;;
1525153500;0.57;34.08;0.4;1013.99;58.55;6.22;230;1.11;;;
1525153800;0.57;34.01;0.38;1014;59.3;6.22;230;1.11;;;
1525154100;0.58;33.92;0.37;1014.01;60.05;6.22;230;1.11;;;
1525154400;0.58;33.79;0.36;1014.03;60.8;6.22;230;1.11;;;
1525154700;0.58;33.98;0.36;1014.02;61.4;6.22;226;1;;;
1525155000;0.58;34.16;0.35;1014.02;62;6.22;223;0.89;;;
1525155300;0.58;34.33;0.35;1014.02;62.6;6.22;218;0.78;;;
1525155600;0.58;34.5;0.34;1014.01;63.2;6.22;212;0.68;;;
1525155900;0.58;34.66;0.34;1014.01;63.8;6.22;203;0.59;;;
1525156200;0.58;34.82;0.33;1014.01;64.4;6.22;192;0.52;;;
1525156500;0.58;34.96;0.33;1014;65;6.22;178;0.47;;;
1525156800;0.58;35.11;0.32;1014;65.6;6.22;163;0.46;;;
1525157100;0.58;35.24;0.32;1014;66.2;6.22;147;0.48;;;
1525157400;0.58;35.37;0.31;1013.99;66.8;6.22;134;0.53;;;
1525157700;0.58;35.48;0.31;1013.99;67.4;6.22;123;0.6;;;
1525158000;0.58;35.59;0.3;1013.99;68;6.22;115;0.69;;;
1525158300;0.55;35.9;0.3;1013.97;68.45;6.22;115;0.74;;;
1525158600;0.52;36.2;0.3;1013.95;68.9;6.22;115;0.78;;;
1525158900;0.49;36.51;0.3;1013.93;69.35;6.22;115;0.82;;;
1525159200;0.45;36.81;0.3;1013.91;69.8;6.22;115;0.86;;;
1525159500;0.42;37.11;0.3;1013.89;70.25;6.22;115;0.91;;;
1525159800;0.39;37.41;0.3;1013.87;70.69;6.22;115;0.95;;;
1525160100;0.35;37.71;0.3;1013.85;71.14;6.22;115;0.99;;;
1525160400;0.32;38.01;0.29;1013.83;71.59;6.22;115;1.04;;;
1525160700;0.29;38.31;0.29;1013.81;72.04;6.22;115;1.08;;;
1525161000;0.25;38.61;0.29;1013.79;72.49;6.22;115;1.12;;;
1525161300;0.22;38.91;0.29;1013.77;72.94;6.22;115;1.17;;;
1525161600;0.19;39.21;0.29;1013.75;73.39;6.22;115;1.21;;;
1525161900;0.19;39.21;0.29;1013.72;73.54;6.22;133;1.21;;;
1525162200;0.19;39.21;0.29;1013.69;73.69;6.22;150;1.33;;;
1525162500;0.19;39.21;0.29;1013.65;73.84;6.22;164;1.55;;;
1525162800;0.19;39.22;0.28;1013.62;73.99;6.22;173;1.82;;;
1525163100;0.19;39.22;0.28;1013.58;74.14;6.22;180;2.14;;;
1525163400;0.19;39.22;0.28;1013.55;74.29;6.22;185;2.47;;;
1525163700;0.19;39.22;0.28;1013.52;74.44;6.22;189;2.82;;;
1525164000;0.19;39.22;0.28;1013.48;74.59;6.22;192;3.19;;;
1525164300;0.19;39.21;0.28;1013.45;74.74;6.22;195;3.55;;;
1525164600;0.19;39.21;0.28;1013.41;74.89;6.22;197;3.93;;;
