Time;cloudCover;dewPoint;humidity;ozone;pressure;temp;uvIndex;visibility;windBearing;windGust;windSpeed;totalAcPower
15.06.2018 12:00;0.4;51.24;0.39;331.94;1007.29;78.11;8;9.97;278;14.79;11.01;36168
15.06.2018 12:05;0.4;51.04;0.39;332;1007.25;78.29;8;9.97;277;14.83;10.94;36080
15.06.2018 12:10;0.39;50.83;0.38;332.06;1007.22;78.47;9;9.97;276;14.88;10.87;35989
15.06.2018 12:15;0.38;50.61;0.38;332.12;1007.19;78.64;9;9.97;275;14.93;10.81;36363
15.06.2018 12:20;0.38;50.39;0.37;332.19;1007.16;78.82;9;9.97;274;14.97;10.75;36482
15.06.2018 12:25;0.37;50.17;0.37;332.25;1007.12;79;9;9.97;273;15.02;10.69;36705
15.06.2018 12:30;0.37;49.94;0.36;332.31;1007.09;79.17;9;9.97;271;15.06;10.64;37367
15.06.2018 12:35;0.36;49.7;0.36;332.37;1007.06;79.35;9;9.97;270;15.11;10.59;37177
15.06.2018 12:40;0.35;49.46;0.35;332.44;1007.02;79.53;9;9.97;269;15.15;10.55;37571
15.06.2018 12:45;0.35;49.21;0.34;332.5;1006.99;79.7;9;9.97;268;15.2;10.51;38075
15.06.2018 12:50;0.34;48.96;0.34;332.56;1006.96;79.88;9;9.97;267;15.25;10.47;38234
15.06.2018 12:55;0.34;48.7;0.33;332.63;1006.93;80.06;9;9.97;266;15.29;10.44;38259
15.06.2018 13:00;0.33;48.43;0.33;332.69;1006.89;80.23;9;9.97;265;15.34;10.41;38164
15.06.2018 13:05;0.34;48;0.32;332.73;1006.88;80.37;9;9.97;266;15.34;10.51;38452
15.06.2018 13:10;0.35;47.57;0.32;332.77;1006.87;80.51;9;9.97;266;15.34;10.61;39458
15.06.2018 13:15;0.36;47.12;0.31;332.82;1006.85;80.64;9;9.97;267;15.34;10.72;39616
15.06.2018 13:20;0.37;46.66;0.3;332.86;1006.84;80.78;9;9.97;268;15.35;10.83;37385
15.06.2018 13:25;0.38;46.19;0.3;332.9;1006.83;80.92;9;9.97;269;15.35;10.94;38636
15.06.2018 13:30;0.39;45.71;0.29;332.94;1006.81;81.05;9;9.97;270;15.35;11.05;31284
15.06.2018 13:35;0.39;45.21;0.28;332.99;1006.8;81.12;8;9.97;271;15.35;11.18;41329
15.06.2018 13:40;0.4;44.7;0.28;333.03;1006.78;81.32;8;9.97;272;15.35;11.28;40467
15.06.2018 13:45;0.41;44.18;0.27;333.07;1006.77;81.46;8;9.97;272;15.36;11.4;40295
15.06.2018 13:50;0.42;43.64;0.26;333.11;1006.76;81.6;8;9.97;273;15.36;11.53;38996
15.06.2018 13:55;0.43;43.08;0.26;333.16;1006.74;81.66;8;9.97;274;15.36;11.66;36646
15.06.2018 14:00;0.44;42.52;0.25;333.2;1006.73;81.87;8;9.97;275;15.36;11.78;39039
15.06.2018 14:05;0.44;42.68;0.25;332.71;1006.69;81.9;7;9.97;274;15.36;11.79;40402
15.06.2018 14:10;0.43;42.84;0.25;332.21;1006.65;81.92;7;9.97;274;15.36;11.8;40756
15.06.2018 14:15;0.42;43;0.25;331.72;1006.61;81.95;7;9.97;274;15.36;11.81;40268
15.06.2018 14:20;0.42;43.16;0.25;331.22;1006.56;81.97;7;9.97;274;15.37;11.82;40046
15.06.2018 14:25;0.41;43.32;0.26;330.73;1006.52;82;7;9.97;273;15.37;11.83;39556
15.06.2018 14:30;0.4;43.48;0.26;330.23;1006.48;82.02;7;9.97;273;15.37;11.84;39501
15.06.2018 14:35;0.4;43.64;0.26;329.74;1006.44;82.05;7;9.97;273;15.37;11.85;39037
15.06.2018 14:40;0.39;43.8;0.26;329.25;1006.4;82.07;6;9.97;272;15.37;11.87;38647
15.06.2018 14:45;0.39;43.96;0.26;328.75;1006.36;82.1;6;9.97;272;15.37;11.88;38258
15.06.2018 14:50;0.38;44.12;0.26;328.26;1006.32;82.12;6;9.97;272;15.37;11.89;38449
15.06.2018 14:55;0.37;44.27;0.26;327.76;1006.28;82.15;6;9.97;271;15.37;11.91;39256
15.06.2018 15:00;0.37;44.43;0.27;327.27;1006.24;82.18;6;9.97;271;15.37;11.92;18423
15.06.2018 15:05;0.38;44.53;0.27;327.27;1006.23;82.07;6;9.97;272;15.34;11.64;40773
15.06.2018 15:10;0.38;44.64;0.27;327.27;1006.21;81.97;5;9.97;273;15.31;11.37;39448
15.06.2018 15:15;0.39;44.74;0.27;327.28;1006.2;81.87;5;9.97;274;15.28;11.11;38159
15.06.2018 15:20;0.4;44.84;0.27;327.28;1006.19;81.77;5;9.97;275;15.24;10.84;22895
15.06.2018 15:25;0.41;44.95;0.28;327.28;1006.18;81.67;5;9.97;276;15.21;10.58;26450
15.06.2018 15:30;0.42;45.05;0.28;327.28;1006.17;81.57;4;9.97;277;15.18;10.32;38259
15.06.2018 15:35;0.43;45.14;0.28;327.29;1006.16;81.47;4;9.97;278;15.15;10.07;37703
15.06.2018 15:40;0.43;45.24;0.28;327.29;1006.15;81.37;4;9.97;280;15.12;9.82;37526
15.06.2018 15:45;0.44;45.34;0.28;327.29;1006.14;81.27;4;9.97;281;15.08;9.58;32315
15.06.2018 15:50;0.45;45.43;0.29;327.3;1006.13;81.17;4;9.97;282;15.05;9.34;15797
15.06.2018 15:55;0.46;45.52;0.29;327.3;1006.12;81.06;3;9.97;284;15.02;9.11;14521
15.06.2018 16:00;0.47;45.62;0.29;327.3;1006.11;80.96;3;9.97;285;14.99;8.88;23430
15.06.2018 16:05;0.47;45.49;0.29;327.37;1006.11;81.04;3;9.97;285;14.94;8.99;30373
15.06.2018 16:10;0.46;45.36;0.28;327.44;1006.11;81.12;3;9.97;285;14.88;9.1;36083
15.06.2018 16:15;0.46;45.23;0.28;327.51;1006.12;81.2;3;9.97;284;14.83;9.21;35384
15.06.2018 16:20;0.46;45.1;0.28;327.58;1006.12;81.28;3;9.97;284;14.78;9.32;33590
15.06.2018 16:25;0.46;44.96;0.28;327.65;1006.13;81.36;3;9.97;284;14.73;9.43;22084
15.06.2018 16:30;0.46;44.83;0.28;327.72;1006.13;81.43;2;9.97;284;14.68;9.54;34083
15.06.2018 16:35;0.45;44.69;0.27;327.79;1006.13;81.51;2;9.97;283;14.63;9.65;32971
15.06.2018 16:40;0.45;44.55;0.27;327.86;1006.14;81.59;2;9.97;283;14.58;9.76;32282
15.06.2018 16:45;0.45;44.41;0.27;327.93;1006.14;81.67;2;9.97;283;14.52;9.87;31206
15.06.2018 16:50;0.45;44.27;0.27;328;1006.14;81.75;2;9.97;283;14.47;9.98;30258
15.06.2018 16:55;0.45;44.13;0.27;328.07;1006.15;81.83;2;9.97;283;14.42;10.1;29283
15.06.2018 17:00;0.45;43.99;0.26;328.14;1006.15;81.91;2;9.97;282;14.37;10.21;24151
15.06.2018 17:05;0.45;44.13;0.27;328.21;1006.19;81.78;2;9.97;285;14.32;10.04;28658
15.06.2018 17:10;0.46;44.26;0.27;328.29;1006.22;81.65;2;9.97;288;14.27;9.9;21216
15.06.2018 17:15;0.47;44.4;0.27;328.36;1006.25;81.52;1;9.97;290;14.22;9.78;27371
15.06.2018 17:20;0.48;44.53;0.27;328.43;1006.29;81.4;1;9.97;293;14.17;9.68;27684
15.06.2018 17:25;0.49;44.66;0.28;328.51;1006.32;81.27;1;9.97;296;14.12;9.61;26725
15.06.2018 17:30;0.5;44.79;0.28;328.58;1006.36;81.14;1;9.97;299;14.07;9.56;25258
15.06.2018 17:35;0.51;44.92;0.28;328.65;1006.39;81.01;1;9.97;302;14.02;9.53;24115
15.06.2018 17:40;0.52;45.04;0.28;328.73;1006.43;80.88;1;9.97;305;13.96;9.53;8936
15.06.2018 17:45;0.53;45.16;0.29;328.8;1006.46;80.76;1;9.97;308;13.91;9.56;20815
15.06.2018 17:50;0.54;45.28;0.29;328.87;1006.49;80.63;1;9.97;311;13.86;9.61;23246
15.06.2018 17:55;0.55;45.4;0.29;328.95;1006.53;80.5;1;9.97;313;13.81;9.68;22296
15.06.2018 18:00;0.56;45.52;0.29;329.02;1006.56;80.37;1;9.97;316;13.76;9.78;21515
15.06.2018 18:05;0.58;45.81;0.3;329.12;1006.67;79.83;1;9.82;319;14.85;9.75;20832
15.06.2018 18:10;0.59;46.07;0.31;329.21;1006.78;79.29;1;9.66;321;15.95;9.74;11167
15.06.2018 18:15;0.61;46.32;0.32;329.31;1006.89;78.75;1;9.51;324;17.04;9.75;19671
15.06.2018 18:20;0.62;46.55;0.33;329.4;1007;78.21;1;9.36;327;18.13;9.78;14698
15.06.2018 18:25;0.64;46.75;0.34;329.5;1007.11;77.67;1;9.21;329;19.22;9.83;8661
15.06.2018 18:30;0.66;46.94;0.34;329.59;1007.22;77.12;0;9.06;332;20.32;9.9;13464
15.06.2018 18:35;0.67;47.12;0.35;329.69;1007.33;76.58;0;8.91;334;21.41;9.99;14960
15.06.2018 18:40;0.69;47.27;0.36;329.78;1007.44;76.04;0;8.76;337;22.5;10.1;11408
15.06.2018 18:45;0.7;47.42;0.37;329.88;1007.55;75.5;0;8.61;339;23.59;10.23;9056
15.06.2018 18:50;0.72;47.54;0.38;329.97;1007.66;74.96;0;8.46;342;24.69;10.37;6681
15.06.2018 18:55;0.74;47.65;0.39;330.07;1007.77;74.42;0;8.31;344;25.78;10.53;8651
15.06.2018 19:00;0.75;47.75;0.4;330.16;1007.88;73.88;0;8.16;346;26.87;10.71;13143
15.06.2018 19:05;0.74;47.94;0.4;330.27;1007.95;73.84;0;8.11;342;25.73;10.35;13221
15.06.2018 19:10;0.72;48.13;0.4;330.37;1008.02;73.81;0;8.06;338;24.59;10.04;10933
15.06.2018 19:15;0.7;48.32;0.41;330.47;1008.08;73.78;0;8.01;334;23.45;9.78;9861
15.06.2018 19:20;0.68;48.51;0.41;330.58;1008.15;73.75;0;7.96;329;22.3;9.59;6175
15.06.2018 19:25;0.66;48.69;0.41;330.68;1008.22;73.72;0;7.91;324;21.16;9.47;4533
15.06.2018 19:30;0.64;48.88;0.42;330.78;1008.29;73.68;0;7.86;319;20.02;9.41;3071
15.06.2018 19:35;0.63;49.06;0.42;330.89;1008.35;73.65;0;7.81;314;18.88;9.42;2107
15.06.2018 19:40;0.61;49.24;0.42;330.99;1008.42;73.62;0;7.77;309;17.74;9.5;1455
15.06.2018 19:45;0.59;49.42;0.43;331.1;1008.49;73.59;0;7.72;305;16.6;9.65;1350
15.06.2018 19:50;0.57;49.6;0.43;331.2;1008.55;73.56;0;7.67;300;15.45;9.86;1394
15.06.2018 19:55;0.55;49.78;0.43;331.3;1008.62;73.53;0;7.62;296;14.31;10.13;2316
15.06.2018 20:00;0.53;49.95;0.44;331.41;1008.69;73.49;0;7.57;292;13.17;10.46;3237
15.06.2018 20:05;0.53;50.16;0.45;331.92;1008.73;72.92;0;7.65;294;13.27;9.74;3150
15.06.2018 20:10;0.53;50.35;0.46;332.42;1008.77;72.35;0;7.73;297;13.37;9.03;3797
15.06.2018 20:15;0.53;50.52;0.47;332.93;1008.82;71.78;0;7.81;300;13.47;8.35;4139
15.06.2018 20:20;0.53;50.68;0.48;333.44;1008.86;71.21;0;7.89;303;13.56;7.69;4034
15.06.2018 20:25;0.52;50.81;0.5;333.95;1008.9;70.63;0;7.98;308;13.66;7.08;3743
15.06.2018 20:30;0.52;50.93;0.51;334.45;1008.95;70.06;0;8.06;313;13.76;6.51;3177
15.06.2018 20:35;0.52;51.03;0.52;334.96;1008.99;69.49;0;8.14;319;13.86;6;2259
15.06.2018 20:40;0.52;51.11;0.53;335.47;1009.03;68.92;0;8.22;326;13.96;5.58;1631
15.06.2018 20:45;0.52;51.18;0.54;335.98;1009.08;68.35;0;8.3;334;14.05;5.25;1346
15.06.2018 20:50;0.51;51.24;0.55;336.48;1009.12;67.77;0;8.38;343;14.15;5.05;1245
15.06.2018 20:55;0.51;51.28;0.57;336.99;1009.16;67.2;0;8.46;353;14.25;4.97;764
15.06.2018 21:00;0.51;51.31;0.58;337.5;1009.21;66.63;0;8.55;2;14.35;5.04;471
15.06.2018 21:05;0.52;51.33;0.58;337.5;1009.24;66.35;0;8.67;7;14.13;4.92;361
15.06.2018 21:10;0.53;51.35;0.59;337.51;1009.28;66.08;0;8.79;12;13.91;4.84;101
15.06.2018 21:15;0.54;51.37;0.6;337.51;1009.32;65.8;0;8.91;17;13.69;4.79;2
15.06.2018 21:20;0.55;51.38;0.6;337.52;1009.35;65.53;0;9.03;21;13.47;4.77;0
