#Date;Time;SumPac;Panel_temp;Hour_map
150318;00:00:00;0;58;0
150318;00:05:00;0;58;35
150318;00:10:00;0;58;69
150318;00:15:00;0;58;104
150318;00:20:00;0;58;139
150318;00:25:00;0;58;174
150318;00:30:00;0;58;208
150318;00:35:00;0;58;243
150318;00:40:00;0;57;278
150318;00:45:00;0;58;313
150318;00:50:00;0;58;347
150318;00:55:00;0;58;382
150318;01:00:00;0;58;417
150318;01:05:00;0;58;451
150318;01:10:00;0;58;486
150318;01:15:00;0;58;521
150318;01:20:00;0;58;556
150318;01:25:00;0;58;590
150318;01:30:00;0;58;625
150318;01:35:00;0;58;660
150318;01:40:00;0;58;694
150318;01:45:00;0;58;729
150318;01:50:00;0;58;764
150318;01:55:00;0;58;799
150318;02:00:00;0;58;833
150318;02:05:00;0;57;868
150318;02:10:00;0;57;903
150318;02:15:00;0;57;938
150318;02:20:00;0;56;972
150318;02:25:00;0;52;1007
150318;02:30:00;0;54;1042
150318;02:35:00;0;57;1076
150318;02:40:00;0;56;1111
150318;02:45:00;0;56;1146
150318;02:50:00;0;57;1181
150318;02:55:00;0;57;1215
150318;03:00:00;0;57;1250
150318;03:05:00;0;58;1285
150318;03:10:00;0;58;1319
150318;03:15:00;0;58;1354
150318;03:20:00;0;58;1389
150318;03:25:00;0;57;1424
150318;03:30:00;0;57;1458
150318;03:35:00;0;57;1493
150318;03:40:00;0;57;1528
150318;03:45:00;0;56;1563
150318;03:50:00;0;56;1597
150318;03:55:00;0;56;1632
150318;04:00:00;0;55;1667
150318;04:05:00;0;55;1701
150318;04:10:00;0;55;1736
150318;04:15:00;0;54;1771
150318;04:20:00;0;54;1806
150318;04:25:00;0;54;1840
150318;04:30:00;0;53;1875
150318;04:35:00;0;53;1910
150318;04:40:00;0;52;1944
150318;04:45:00;0;52;1979
150318;04:50:00;0;51;2014
150318;04:55:00;0;50;2049
150318;05:00:00;0;49;2083
150318;05:05:00;0;48;2118
150318;05:10:00;0;47;2153
150318;05:15:00;0;45;2188
150318;05:20:00;0;44;2222
150318;05:25:00;0;43;2257
150318;05:30:00;0;42;2292
150318;05:35:00;0;40;2326
150318;05:40:00;0;39;2361
150318;05:45:00;0;38;2396
150318;05:50:00;0;37;2431
150318;05:55:00;0;36;2465
150318;06:00:00;0;35;2500
150318;06:05:00;0;34;2535
150318;06:10:00;0;33;2569
150318;06:15:00;0;32;2604
150318;06:20:00;0;31;2639
150318;06:25:00;0;30;2674
150318;06:30:00;0;29;2708
150318;06:35:00;0;28;2743
150318;06:40:00;0;27;2778
150318;06:45:00;0;27;2813
150318;06:50:00;0;26;2847
150318;06:55:00;0;26;2882
150318;07:00:00;0;25;2917
150318;07:05:00;0;25;2951
150318;07:10:00;0;24;2986
150318;07:15:00;0;24;3021
150318;07:20:00;12;23;3056
150318;07:25:00;252;23;3090
150318;07:30:00;332;23;3125
150318;07:35:00;431;23;3160
150318;07:40:00;428;23;3194
150318;07:45:00;445;22;3229
150318;07:50:00;634;22;3264
150318;07:55:00;912;22;3299
150318;08:00:00;1156;22;3333
150318;08:05:00;1556;22;3368
150318;08:10:00;1993;22;3403
150318;08:15:00;2527;21;3438
150318;08:20:00;3443;21;3472
150318;08:25:00;3536;20;3507
150318;08:30:00;3704;20;3542
150318;08:35:00;4044;20;3576
150318;08:40:00;4395;0;3611
150318;08:45:00;4886;20;3646
150318;08:50:00;4597;0;3681
150318;08:55:00;4533;0;3715
150318;09:00:00;5084;0;3750
150318;09:05:00;5488;0;3785
150318;09:10:00;7196;0;3819
150318;09:15:00;11688;0;3854
150318;09:20:00;11850;0;3889
150318;09:25:00;13519;0;3924
150318;09:30:00;11705;0;3958
150318;09:35:00;9334;0;3993
150318;09:40:00;10223;0;4028
150318;09:45:00;21174;0;4063
150318;09:50:00;21846;0;4097
150318;09:55:00;11444;0;4132
150318;10:00:00;9485;0;4167
150318;10:05:00;11566;0;4201
150318;10:10:00;11857;0;4236
150318;10:15:00;20049;0;4271
150318;10:20:00;15360;0;4306
150318;10:25:00;8317;0;4340
150318;10:30:00;9850;0;4375
150318;10:35:00;11109;0;4410
150318;10:40:00;13214;0;4444
150318;10:45:00;15468;0;4479
150318;10:50:00;15633;0;4514
150318;10:55:00;17198;0;4549
150318;11:00:00;14252;0;4583
150318;11:05:00;7986;0;4618
150318;11:10:00;7875;0;4653
150318;11:15:00;9357;0;4688
150318;11:20:00;9281;0;4722
150318;11:25:00;12119;0;4757
150318;11:30:00;8828;0;4792
150318;11:35:00;7630;0;4826
150318;11:40:00;6370;0;4861
150318;11:45:00;5167;0;4896
150318;11:50:00;6469;0;4931
150318;11:55:00;8313;0;4965
150318;12:00:00;7106;0;5000
150318;12:05:00;8997;0;5035
150318;12:10:00;10314;0;5069
150318;12:15:00;8990;0;5104
150318;12:20:00;8260;0;5139
150318;12:25:00;7193;0;5174
150318;12:30:00;9359;0;5208
150318;12:35:00;13800;0;5243
150318;12:40:00;17387;0;5278
150318;12:45:00;13536;0;5313
150318;12:50:00;12329;0;5347
150318;12:55:00;10717;0;5382
150318;13:00:00;14857;0;5417
150318;13:05:00;32018;0;5451
150318;13:10:00;34232;0;5486
150318;13:15:00;29758;0;5521
150318;13:20:00;34273;0;5556
150318;13:25:00;37302;0;5590
150318;13:30:00;35707;0;5625
150318;13:35:00;24880;0;5660
150318;13:40:00;23240;0;5694
150318;13:45:00;22630;0;5729
150318;13:50:00;32591;0;5764
150318;13:55:00;32400;0;5799
150318;14:00:00;31743;0;5833
150318;14:05:00;31176;0;5868
150318;14:10:00;30969;0;5903
150318;14:15:00;30909;0;5938
150318;14:20:00;30337;0;5972
150318;14:25:00;30176;0;6007
150318;14:30:00;22437;0;6042
150318;14:35:00;20896;0;6076
150318;14:40:00;13644;0;6111
150318;14:45:00;29769;0;6146
150318;14:50:00;19869;0;6181
150318;14:55:00;19968;0;6215
150318;15:00:00;30754;0;6250
150318;15:05:00;23617;0;6285
150318;15:10:00;22796;0;6319
150318;15:15:00;26061;0;6354
150318;15:20:00;27462;0;6389
150318;15:25:00;24157;0;6424
150318;15:30:00;22663;0;6458
150318;15:35:00;26455;0;6493
150318;15:40:00;19933;0;6528
150318;15:45:00;26215;0;6563
150318;15:50:00;22963;0;6597
150318;15:55:00;21641;0;6632
150318;16:00:00;21054;0;6667
150318;16:10:00;16210;0;6736
150318;16:15:00;6788;0;6771
150318;16:25:00;7878;0;6840
150318;16:30:00;15814;0;6875
150318;16:35:00;16105;0;6910
150318;16:40:00;8414;0;6944
150318;16:45:00;4865;0;6979
150318;16:50:00;4227;0;7014
150318;16:55:00;3861;0;7049
150318;17:00:00;5082;0;7083
150318;17:05:00;5185;0;7118
150318;17:10:00;4825;0;7153
150318;17:15:00;3868;0;7188
150318;17:20:00;3267;0;7222
150318;17:25:00;3159;0;7257
150318;17:30:00;2782;0;7292
150318;17:35:00;2331;0;7326
150318;17:40:00;2152;0;7361
150318;17:45:00;1770;26;7396
150318;17:50:00;1128;26;7431
150318;17:55:00;651;26;7465
150318;18:00:00;355;27;7500
150318;18:05:00;194;27;7535
150318;18:10:00;99;28;7569
150318;18:15:00;29;28;7604
150318;18:20:00;0;28;7639
150318;18:25:00;0;28;7674
150318;18:30:00;0;28;7708
150318;18:35:00;0;28;7743
150318;18:40:00;0;29;7778
150318;18:45:00;0;29;7813
150318;18:50:00;0;29;7847
150318;18:55:00;0;29;7882
150318;19:00:00;0;29;7917
150318;19:05:00;0;29;7951
150318;19:10:00;0;29;7986
150318;19:15:00;0;29;8021
150318;19:20:00;0;30;8056
150318;19:25:00;0;30;8090
150318;19:30:00;0;30;8125
150318;19:35:00;0;31;8160
150318;19:40:00;0;32;8194
150318;19:45:00;0;32;8229
150318;19:50:00;0;32;8264
150318;19:55:00;0;31;8299
150318;20:00:00;0;31;8333
150318;20:05:00;0;31;8368
150318;20:10:00;0;31;8403
150318;20:15:00;0;31;8438
150318;20:20:00;0;32;8472
150318;20:25:00;0;32;8507
150318;20:30:00;0;33;8542
