time,cloudCover,dewPoint,humidity,ozone,pressure,temp,uvIndex,visibility,windBearing,windGust,windSpeed,Pac
1.05.2018 00:00,0.57,26.65,0.37,,1013.11,51.79,,6.22,200,,2.24,0
1.05.2018 00:05,0.56,26.65,0.37,,1013.1,51.79,,6.22,199,,2.03,0
1.05.2018 00:10,0.56,26.65,0.37,,1013.09,51.79,,6.22,199,,1.82,0
1.05.2018 00:15,0.56,26.65,0.37,,1013.08,51.79,,6.22,199,,1.6,0
1.05.2018 00:20,0.56,26.65,0.37,,1013.08,51.79,,6.22,198,,1.39,0
1.05.2018 00:25,0.56,26.65,0.37,,1013.07,51.79,,6.22,198,,1.17,0
1.05.2018 00:30,0.56,26.65,0.37,,1013.06,51.79,,6.22,197,,0.96,0
1.05.2018 00:35,0.56,26.65,0.37,,1013.05,51.79,,6.22,195,,0.75,0
1.05.2018 00:40,0.56,26.65,0.37,,1013.04,51.79,,6.22,193,,0.54,0
1.05.2018 00:45,0.56,26.65,0.37,,1013.04,51.79,,6.22,187,,0.33,0
1.05.2018 00:50,0.56,26.65,0.37,,1013.03,51.79,,6.22,162,,0.13,0
1.05.2018 00:55,0.56,26.65,0.37,,1013.02,51.79,,6.22,58,,0.14,0
1.05.2018 01:00,0.56,26.65,0.37,,1013.01,51.79,,6.22,36,,0.34,0
1.05.2018 01:05,0.56,26.8,0.38,,1013.0,51.79,,6.22,89,,0.32,0
1.05.2018 01:10,0.56,26.96,0.38,,1013.0,51.79,,6.22,120,,0.51,0
1.05.2018 01:15,0.56,27.11,0.38,,1012.99,51.79,,6.22,133,,0.77,0
1.05.2018 01:20,0.56,27.26,0.38,,1012.98,51.79,,6.22,139,,1.05,0
1.05.2018 01:25,0.56,27.41,0.39,,1012.97,51.79,,6.22,142,,1.33,0
1.05.2018 01:30,0.56,27.56,0.39,,1012.96,51.79,,6.22,145,,1.62,0
1.05.2018 01:35,0.56,27.7,0.39,,1012.95,51.79,,6.22,146,,1.91,0
1.05.2018 01:40,0.56,27.85,0.39,,1012.94,51.79,,6.22,147,,2.2,0
